Feature,VIF
PeerScore,6.6728116142248455
RecruiterScore,1.971050391804013
MedianGPA,1.3123143536902395
AvgSalaryBonus,6.783769248696108
EmployedAtGrad,2.3153401349031353
Employed3Mo,2.123007209827501
AcceptanceRate,1.8599614369158133
GMAT_Combined,3.9819003242971434
