Feature,VIF
PeerScore,6.5105640710837225
RecruiterScore,1.9487189382050025
MedianGPA,1.3197795010439872
AvgSalaryBonus,7.273842823881177
EmployedAtGrad,2.387772051413412
Employed3Mo,2.3632118922556167
AcceptanceRate,2.014962899730579
GMAT_Combined,5.53142525846222
