Feature,VIF
PeerScore,6.519762151517024
RecruiterScore,2.173829947213957
MedianGPA,1.3779783408401582
AvgSalaryBonus,6.706872372173624
EmployedAtGrad,2.422665189154397
Employed3Mo,2.57436312231258
AcceptanceRate,2.0183721085687307
GMAT_Combined,7.4657314527822445
