Feature,VIF
PeerScore,6.754553031711013
RecruiterScore,2.100299031300425
MedianGPA,1.2417344566318211
AvgSalaryBonus,6.863511027669397
EmployedAtGrad,2.3240288909248696
Employed3Mo,2.3481183572725053
AcceptanceRate,1.9658804034481907
GMAT_Combined,6.144026002694087
