Feature,-10%,-5%,-1%,+1%,+5%,+10%
PeerScore,-3.7298519582924996,-1.864925979146257,-0.3729851958292514,0.3729851958292514,1.8649259791462498,3.7298519582924996
RecruiterScore,-1.462518606701586,-0.7312593033507895,-0.14625186067015505,0.14625186067015505,0.7312593033507824,1.4181998610439592
MedianGPA,-4.048727785216755,-2.361757874709781,-0.47235157494195334,0.47235157494195334,2.2942790782894953,4.048727785216755
AvgSalaryBonus,-2.0942787367938465,-1.019570618009915,-0.1997732723986516,0.19778545371536893,0.9698150430604571,1.8945051707729021
EmployedAtGrad,-1.248025919970825,-0.6086499026638492,-0.12257488131110961,0.12075145033336554,0.6072014874048222,1.2002523334905675
Employed3Mo,-1.650116802844451,-0.8919749647855397,-0.18558216747436518,0.18523473878996555,0.9202248973259728,1.9123889914013432
AcceptanceRate,0.055656516319210425,0.026404493632860238,0.005115469685897267,-0.00508743332406425,-0.025253668259992423,-0.05010250545663553
ProfessionSalaryRank,0.27658299816704357,0.13696372992500727,0.04557946274515956,-0.04551676849244046,-0.1365693886588275,-0.27297666952957655
GMAT_Combined,0.030818513702470796,0.030818513702470796,0.014557235699868443,-0.014412687988258455,-0.07067358461317497,-0.13805929317555155
